,Regiao_Geografica,Unidade_da_Federacao,Municipio,Codigo_do_Municipio,Matriculas_Total,Matriculas_Fem_Total,MF_Nao_Declarada,MF_Branca,MF_Preta,MF_Parda,MF_Amarela,MF_Indigena,Matriculas_Masc_Total,MM_Nao_Declarada,MM_Branca,MM_Preta,MM_Parda,MM_Amarela,MM_Indigena
9,Brasil ,  ,  , ,47382074,23405178,6451452,7527270,779916,8392889,79251,174400,23976896,6593168,7599433,812244,8713169,79167,179715
10,Norte ,  ,  , ,4812754,2365448,743489,237865,40774,1256675,5464,81181,2447306,769926,230314,45610,1310608,5443,85405
11,Norte ,Rondônia ,  , ,391467,193160,36131,44901,4399,104141,925,2663,198307,37526,43739,4949,108428,929,2736
12,Norte ,Rondônia ,Alta Floresta D'Oeste ,1100015,5060,2493,47,872,46,1328,4,196,2567,50,846,44,1444,4,179
13,Norte ,Rondônia ,Alto Alegre dos Parecis ,1100379,2601,1279,15,375,43,805,21,20,1322,20,399,44,829,16,14
14,Norte ,Rondônia ,Alto Paraíso ,1100403,3250,1614,1183,128,13,287,2,1,1636,1202,119,18,293,2,2
15,Norte ,Rondônia ,Alvorada D'Oeste ,1100346,2996,1445,166,379,35,863,1,1,1551,173,414,50,906,6,2
16,Norte ,Rondônia ,Ariquemes ,1100023,23000,11298,2963,2695,473,5034,117,16,11702,3199,2696,532,5149,113,13
17,Norte ,Rondônia ,Buritis ,1100452,7014,3500,481,908,89,1987,33,2,3514,494,959,117,1920,24,0
18,Norte ,Rondônia ,Cabixi ,1100031,1260,626,75,287,4,260,0,0,634,43,282,6,303,0,0
19,Norte ,Rondônia ,Cacaulândia ,1100601,1017,470,100,125,26,210,9,0,547,113,119,28,278,9,0
20,Norte ,Rondônia ,Cacoal ,1100049,20219,10075,103,3433,281,5938,32,288,10144,116,3223,268,6198,26,313
21,Norte ,Rondônia ,Campo Novo de Rondônia ,1100700,2265,1119,130,328,28,630,2,1,1146,136,289,34,684,3,0
22,Norte ,Rondônia ,Candeias do Jamari ,1100809,6114,3006,1839,233,39,879,5,11,3108,1861,279,47,913,3,5
23,Norte ,Rondônia ,Castanheiras ,1100908,642,315,33,86,3,192,0,1,327,36,95,7,188,0,1
24,Norte ,Rondônia ,Cerejeiras ,1100056,3566,1789,249,627,34,873,5,1,1777,209,592,41,929,5,1
25,Norte ,Rondônia ,Chupinguaia ,1100924,2602,1268,163,286,21,730,31,37,1334,165,280,29,775,35,50
26,Norte ,Rondônia ,Colorado do Oeste ,1100064,3826,1919,422,589,35,867,5,1,1907,442,553,26,883,3,0
27,Norte ,Rondônia ,Corumbiara ,1100072,1526,747,47,210,8,480,1,1,779,52,205,13,507,1,1
28,Norte ,Rondônia ,Costa Marques ,1100080,3273,1570,318,267,71,892,3,19,1703,362,269,70,987,3,12
29,Norte ,Rondônia ,Cujubim ,1100940,3989,1966,482,432,64,966,19,3,2023,512,429,64,996,19,3
30,Norte ,Rondônia ,Espigão D'Oeste ,1100098,6705,3362,29,1166,95,1821,5,246,3343,22,1132,83,1875,8,223
31,Norte ,Rondônia ,Governador Jorge Teixeira ,1101005,1751,894,70,235,38,538,3,10,857,63,207,27,547,2,11
32,Norte ,Rondônia ,Guajará-Mirim ,1100106,11252,5545,429,733,74,3433,10,866,5707,435,682,97,3520,17,956
33,Norte ,Rondônia ,Itapuã do Oeste ,1101104,2596,1233,215,195,33,789,1,0,1363,235,192,63,871,1,1
34,Norte ,Rondônia ,Jaru ,1100114,11734,5886,393,1884,184,3390,29,6,5848,359,1797,226,3427,28,11
35,Norte ,Rondônia ,Ji-Paraná ,1100122,28453,14013,3237,3402,312,6700,66,296,14440,3318,3358,351,7063,75,275
